Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2015-06-03,M,3101 3401 3701 3006 3801,34.0444,-118.2593,Hispanic
2015-03-24,M,3101 3401 3701 3006 3034 3801,34.0445,-118.2367,White
2015-09-20,M,3101 3401 3701 3004 3801,34.0462,-118.2585,Hispanic
2015-08-29,M,3101 3401 3701 3004 3036 3030 3801,34.0388,-118.2574,Other/Unknown
2015-09-18,F,3101 3401 3701 3004 3036 3034 3801 3025,34.0467,-118.2485,Hispanic
2015-01-29,M,3101 3401 3701 3004 3025 3801,34.0516,-118.2561,Hispanic
2015-03-14,F,3101 3401 3701 3003 3034 3029 3026 3801,34.0491,-118.2558,White
2015-08-03,M,3101 3401 3701 3004 3026 3029 3036 3602 3801,34.0452,-118.2534,Other/Unknown
2015-07-28,M,3101 3401 3701 3004 3036 3602 3801,34.0395,-118.2527,Hispanic
2015-04-20,M,3101 3401 3701 3011 3801 3025,34.0517,-118.2491,White
2015-06-03,M,3101 3401 3701 3011 3030 3801,34.0437,-118.2582,Other/Unknown
2015-06-27,M,3101 3401 3701 3006 3801,34.0453,-118.2499,Hispanic
2015-07-02,F,3101 3401 3701 3006 3030 3032 3801 3602,34.0382,-118.2356,White
2015-05-04,M,3101 3401 3701 3004 3034 3025 3801,34.0467,-118.252,Hispanic
2015-06-26,F,3101 3401 3701 3004 3602 3801 3026,34.0493,-118.2786,Hispanic
2015-08-16,M,3101 3401 3701 3011 3801 0605,34.0515,-118.2615,Asian
2015-04-08,F,3101 3401 3701 3004 3025 3036 3602 3801,34.0753,-118.2812,Hispanic
2015-06-07,F,3101 3401 3701 3006 3025 3801,34.0791,-118.2718,Hispanic
